code,name,industry
000001,平安银行,['金融行业']
000002,万 科Ａ,['房地产']
000004,国农科技,['生物制药']
000005,世纪星源,['房地产']
000006,深振业Ａ,['房地产']
000007,全新好,['酒店旅游']
000008,神州高铁,['综合行业']
000009,中国宝安,['房地产']
000010,美丽生态,['建筑建材']
000011,深物业A,['房地产']
000012,南 玻Ａ,['玻璃行业']
000014,沙河股份,['房地产']
000016,深康佳Ａ,['家电行业']
000018,神州长城,['纺织行业']
000019,深深宝Ａ,['食品行业']
000020,深华发Ａ,['电子器件']
000021,深科技,['电子信息']
000022,深赤湾Ａ,['交通运输']
000023,深天地Ａ,['建筑建材']
000025,特 力Ａ,['汽车制造']
000026,飞亚达Ａ,['商业百货']
000027,深圳能源,['电力行业']
000028,国药一致,['商业百货']
000029,深深房Ａ,['房地产']
000030,富奥股份,['汽车制造']
000031,中粮地产,['房地产']
000032,深桑达Ａ,['电子信息']
000034,神州数码,['煤炭行业']
000035,中国天楹,['电子信息']
000036,华联控股,['房地产']
000037,*ST南电A,['电力行业']
000038,深大通,['房地产']
000039,中集集团,['机械行业']
000040,东旭蓝天,['房地产']
000042,中洲控股,['房地产']
000043,中航地产,['房地产']
000045,深纺织Ａ,['纺织行业']
000046,泛海控股,['房地产']
000048,康达尔,['农林牧渔']
000049,德赛电池,['电器行业']
000050,深天马Ａ,['电子器件']
000055,方大集团,['建筑建材']
000056,皇庭国际,['房地产']
000058,深 赛 格,['电子器件']
000059,华锦股份,['石油行业']
000060,中金岭南,['有色金属']
000061,农 产 品,['农林牧渔']
000062,深圳华强,['商业百货']
000063,中兴通讯,['电子信息']
000065,北方国际,['建筑建材']
000066,长城电脑,['电子信息']
000068,华控赛格,['电子器件']
000069,华侨城Ａ,['酒店旅游']
000070,特发信息,['电子信息']
000078,海王生物,['生物制药']
000088,盐 田 港,['交通运输']
000089,深圳机场,['交通运输']
000090,天健集团,['建筑建材']
000096,广聚能源,['石油行业']
000099,中信海直,['交通运输']
000100,TCL 集团,['家电行业']
000150,宜华健康,['医疗器械']
000151,中成股份,['物资外贸']
000153,丰原药业,['生物制药']
000155,*ST川化,['农药化肥']
000156,华数传媒,['传媒娱乐']
000157,中联重科,['机械行业']
000158,常山股份,['纺织行业']
000159,国际实业,['石油行业']
000166,申万宏源,['金融行业']
000301,东方市场,['综合行业']
000333,美的集团,['家电行业']
000338,潍柴动力,['汽车制造']
000400,许继电气,['发电设备']
000401,冀东水泥,['水泥行业']
000402,金 融 街,['房地产']
000403,ST生化,['生物制药']
000404,华意压缩,['机械行业']
000407,胜利股份,['塑料制品']
000408,*ST金源,['商业百货']
000409,山东地矿,['钢铁行业']
000410,沈阳机床,['机械行业']
000411,英特集团,['商业百货']
000413,东旭光电,['电子器件']
000415,渤海金控,['金融行业']
000416,民生控股,['商业百货']
000417,合肥百货,['商业百货']
000418,小天鹅Ａ,['家电行业']
000419,通程控股,['商业百货']
000420,吉林化纤,['化纤行业']
000421,南京公用,['交通运输']
000422,湖北宜化,['农药化肥']
000423,东阿阿胶,['生物制药']
000425,徐工机械,['机械行业']
000426,兴业矿业,['有色金属']
000428,华天酒店,['酒店旅游']
000429,粤高速Ａ,['公路桥梁']
000430,张家界,['酒店旅游']
000488,晨鸣纸业,['造纸行业']
000498,山东路桥,['建筑建材']
000501,鄂武商Ａ,['商业百货']
000502,绿景控股,['房地产']
000503,海虹控股,['电子信息']
000504,*ST生物,['传媒娱乐']
000505,*ST珠江,['房地产']
000506,中润资源,['房地产']
000507,珠海港,['交通运输']
000509,华塑控股,['建筑建材']
000510,金路集团,['化工行业']
000511,*ST烯碳,['其它行业']
000513,丽珠集团,['生物制药']
000514,渝 开 发,['房地产']
000516,国际医学,['商业百货']
000517,荣安地产,['房地产']
000518,四环生物,['生物制药']
000519,中兵红箭,['机械行业']
000520,长航凤凰,['交通运输']
000521,美菱电器,['家电行业']
000523,广州浪奇,['化工行业']
000524,岭南控股,['酒店旅游']
000525,红 太 阳,['农药化肥']
000526,紫光学大,['房地产']
000528,柳 工,['机械行业']
000529,广弘控股,['食品行业']
000530,大冷股份,['机械行业']
000531,穗恒运Ａ,['电力行业']
000532,力合股份,['电子信息']
000533,万 家 乐,['家电行业']
000534,万泽股份,['房地产']
000536,华映科技,['电子器件']
000537,广宇发展,['房地产']
000538,云南白药,['生物制药']
000539,粤电力Ａ,['电力行业']
000540,中天城投,['房地产']
000541,佛山照明,['家电行业']
000543,皖能电力,['电力行业']
000544,中原环保,['环保行业']
000545,金浦钛业,['化工行业']
000546,金圆股份,['水泥行业']
000547,航天发展,['电子信息']
000548,湖南投资,['公路桥梁']
000550,江铃汽车,['汽车制造']
000551,创元科技,['机械行业']
000552,靖远煤电,['煤炭行业']
000553,沙隆达Ａ,['农药化肥']
000554,泰山石油,['石油行业']
000555,神州信息,['电子信息']
000557,西部创业,['酿酒行业']
000558,莱茵体育,['房地产']
000559,万向钱潮,['汽车制造']
000560,昆百大Ａ,['商业百货']
000561,烽火电子,['电子信息']
000563,陕国投Ａ,['金融行业']
000564,西安民生,['商业百货']
000565,渝三峡Ａ,['化工行业']
000566,海南海药,['生物制药']
000567,海德股份,['房地产']
000568,泸州老窖,['酿酒行业']
000570,苏常柴Ａ,['机械行业']
000571,新大洲Ａ,['煤炭行业']
000572,海马汽车,['汽车制造']
000573,粤宏远Ａ,['房地产']
000576,广东甘化,['综合行业']
000581,威孚高科,['汽车制造']
000582,北部湾港,['交通运输']
000584,友利控股,['化纤行业']
000585,东北电气,['发电设备']
000586,汇源通信,['电子信息']
000587,金洲慈航,['商业百货' '有色金属']
000589,黔轮胎Ａ,['汽车制造']
000590,启迪古汉,['生物制药']
000591,太阳能,['商业百货']
000592,平潭发展,['农林牧渔']
000593,大通燃气,['供水供气']
000595,宝塔实业,['机械行业']
000596,古井贡酒,['酿酒行业']
000597,东北制药,['生物制药']
000598,兴蓉环境,['环保行业']
000599,青岛双星,['汽车制造']
000600,建投能源,['电力行业']
000601,韶能股份,['电力行业']
000603,盛达矿业,['有色金属']
000605,渤海股份,['供水供气']
000606,*ST易桥,['生物制药']
000607,华媒控股,['传媒娱乐']
000608,阳光股份,['房地产']
000609,绵石投资,['房地产']
000610,西安旅游,['酒店旅游']
000611,*ST天首,['纺织行业']
000612,焦作万方,['有色金属']
000613,大东海A,['酒店旅游']
000615,京汉股份,['化纤行业']
000616,海航投资,['房地产']
000617,*ST济柴,['机械行业']
000619,海螺型材,['建筑建材']
000620,新华联,['房地产']
000622,*ST恒立,['汽车制造']
000623,吉林敖东,['生物制药']
000625,长安汽车,['汽车制造']
000626,远大控股,['物资外贸']
000627,天茂集团,['化工行业']
000628,高新发展,['开发区']
000629,*ST钒钛,['钢铁行业']
000630,铜陵有色,['有色金属']
000631,顺发恒业,['房地产']
000632,三木集团,['综合行业']
000633,*ST合金,['综合行业']
000635,英 力 特,['化工行业']
000636,风华高科,['电子器件']
000637,茂化实华,['石油行业']
000638,万方发展,['商业百货']
000639,西王食品,['食品行业']
000650,仁和药业,['生物制药']
000651,格力电器,['家电行业']
000652,泰达股份,['综合行业']
000655,金岭矿业,['钢铁行业']
000656,金科股份,['房地产']
000657,中钨高新,['有色金属']
000659,珠海中富,['印刷包装']
000661,长春高新,['生物制药']
000662,天夏智慧,['化工行业']
000663,永安林业,['农林牧渔']
000665,湖北广电,['传媒娱乐']
000666,经纬纺机,['纺织机械']
000667,美好置业,['房地产']
000668,荣丰控股,['房地产']
000669,金鸿能源,['供水供气']
000670,*ST盈方,['电子器件']
000671,阳 光 城,['房地产']
000672,上峰水泥,['水泥行业']
000673,当代东方,['印刷包装']
000676,智度股份,['仪器仪表']
000677,恒天海龙,['化纤行业']
000678,襄阳轴承,['机械行业']
000679,大连友谊,['商业百货']
000680,山推股份,['机械行业']
000681,视觉中国,['电子信息']
000682,东方电子,['发电设备']
000683,远兴能源,['化工行业']
000685,中山公用,['供水供气']
000686,东北证券,['金融行业']
000687,华讯方舟,['化纤行业']
000690,宝新能源,['电力行业']
000691,ST亚太,['房地产']
000692,惠天热电,['供水供气']
000695,滨海能源,['供水供气']
000697,炼石有色,['有色金属']
000698,沈阳化工,['化工行业']
000700,模塑科技,['汽车制造']
000701,厦门信达,['综合行业']
000702,正虹科技,['农林牧渔']
000703,恒逸石化,['化纤行业']
000705,浙江震元,['商业百货']
000707,双环科技,['化工行业']
000708,大冶特钢,['钢铁行业']
000709,河钢股份,['钢铁行业']
000710,天兴仪表,['汽车制造']
000711,京蓝科技,['电子信息']
000712,锦龙股份,['金融行业']
000713,丰乐种业,['农林牧渔']
000715,中兴商业,['商业百货']
000716,黑芝麻,['食品行业']
000717,*ST韶钢,['钢铁行业']
000718,苏宁环球,['房地产']
000719,大地传媒,['传媒娱乐']
000720,新能泰山,['电力行业']
000721,西安饮食,['酒店旅游']
000722,湖南发展,['电力行业']
000723,美锦能源,['煤炭行业']
000725,京东方Ａ,['电子器件']
000726,鲁 泰Ａ,['纺织行业']
000727,华东科技,['电子器件']
000728,国元证券,['金融行业']
000729,燕京啤酒,['酿酒行业']
000731,四川美丰,['农药化肥']
000732,泰禾集团,['房地产']
000733,振华科技,['电子器件']
000735,罗 牛 山,['农林牧渔']
000736,中房地产,['房地产']
000737,南风化工,['化工行业']
000738,中航动控,['飞机制造']
000739,普洛药业,['生物制药']
000748,长城信息,['电子信息']
000750,国海证券,['金融行业']
000751,锌业股份,['有色金属']
000752,西藏发展,['酿酒行业']
000753,漳州发展,['汽车制造']
000755,山西三维,['化工行业']
000756,新华制药,['生物制药']
000757,浩物股份,['汽车制造']
000758,中色股份,['有色金属']
000759,中百集团,['商业百货']
000760,斯太尔,['汽车制造']
000761,本钢板材,['钢铁行业']
000762,西藏矿业,['有色金属']
000766,通化金马,['生物制药']
000767,漳泽电力,['电力行业']
000768,中航飞机,['飞机制造']
000776,广发证券,['金融行业']
000777,中核科技,['机械行业']
000778,新兴铸管,['钢铁行业']
000779,三毛派神,['纺织行业']
000780,平庄能源,['煤炭行业']
000782,美达股份,['化纤行业']
000783,长江证券,['金融行业']
000785,武汉中商,['商业百货']
000786,北新建材,['建筑建材']
000788,北大医药,['生物制药']
000789,万年青,['水泥行业']
000790,泰合健康,['生物制药']
000791,甘肃电投,['电力行业']
000792,盐湖股份,['农药化肥']
000793,华闻传媒,['传媒娱乐']
000795,英洛华,['其它行业']
000796,凯撒旅游,['食品行业']
000797,中国武夷,['房地产']
000798,中水渔业,['农林牧渔']
000799,酒鬼酒,['酿酒行业']
000800,一汽轿车,['汽车制造']
000801,四川九洲,['电子信息']
000802,北京文化,['酒店旅游']
000803,金宇车城,['纺织行业']
000806,银河生物,['发电设备']
000807,云铝股份,['有色金属']
000809,铁岭新城,['房地产']
000810,创维数字,['电子器件']
000811,烟台冰轮,['机械行业']
000812,陕西金叶,['印刷包装']
000813,德展健康,['纺织行业']
000815,美利云,['造纸行业']
000816,智慧农业,['机械行业']
000818,方大化工,['化工行业']
000819,岳阳兴长,['石油行业']
000820,神雾节能,['造纸行业']
000821,京山轻机,['机械行业']
000822,山东海化,['化工行业']
000823,超声电子,['电子器件']
000825,太钢不锈,['钢铁行业']
000826,启迪桑德,['环保行业']
000828,东莞控股,['公路桥梁']
000829,天音控股,['商业百货']
000830,鲁西化工,['农药化肥']
000831,*ST五稀,['有色金属']
000833,贵糖股份,['造纸行业']
000835,长城动漫,['传媒娱乐']
000836,鑫茂科技,['电子信息']
000837,秦川机床,['机械行业']
000838,财信发展,['房地产']
000839,中信国安,['综合行业']
000848,承德露露,['食品行业']
000850,华茂股份,['纺织行业']
000851,高鸿股份,['电子信息']
000852,石化机械,['机械行业']
000856,*ST冀装,['机械行业']
000858,五 粮 液,['酿酒行业']
000859,国风塑业,['塑料制品']
000860,顺鑫农业,['酿酒行业']
000861,海印股份,['房地产']
000862,银星能源,['电力行业']
000863,三湘印象,['房地产']
000868,安凯客车,['汽车制造']
000869,张 裕Ａ,['酿酒行业']
000875,吉电股份,['电力行业']
000876,新 希 望,['农林牧渔']
000877,天山股份,['水泥行业']
000878,云南铜业,['有色金属']
000880,潍柴重机,['机械行业']
000881,大连国际,['综合行业']
000882,华联股份,['商业百货']
000883,湖北能源,['电力行业']
000885,同力水泥,['水泥行业']
000886,海南高速,['公路桥梁']
000887,中鼎股份,['化工行业']
000888,峨眉山Ａ,['酒店旅游']
000889,茂业通信,['商业百货']
000890,法 尔 胜,['钢铁行业']
000892,星美联合,['电子信息']
000893,东凌国际,['食品行业']
000895,双汇发展,['食品行业']
000897,津滨发展,['房地产']
000898,鞍钢股份,['钢铁行业']
000899,赣能股份,['电力行业']
000900,现代投资,['公路桥梁']
000901,航天科技,['飞机制造']
000902,新洋丰,['农药化肥']
000903,云内动力,['机械行业']
000905,厦门港务,['交通运输']
000906,物产中拓,['商业百货']
000908,景峰医药,['生物制药']
000909,数源科技,['综合行业']
000910,大亚圣象,['家具行业']
000911,南宁糖业,['食品行业']
000912,泸天化,['农药化肥']
000913,*ST钱江,['摩托车']
000915,山大华特,['生物制药']
000916,华北高速,['公路桥梁']
000917,电广传媒,['传媒娱乐']
000918,嘉凯城,['房地产']
000919,金陵药业,['生物制药']
000920,南方汇通,['交通运输']
000921,海信科龙,['家电行业']
000922,佳电股份,['电器行业']
000923,河北宣工,['机械行业']
000925,众合科技,['机械行业']
000926,福星股份,['房地产']
000927,一汽夏利,['汽车制造']
000928,中钢国际,['建筑建材']
000929,兰州黄河,['酿酒行业']
000930,中粮生化,['食品行业']
000931,中 关 村,['房地产']
000932,华菱钢铁,['钢铁行业']
000933,*ST神火,['煤炭行业']
000935,四川双马,['水泥行业']
000936,华西股份,['化纤行业']
000937,冀中能源,['煤炭行业']
000938,紫光股份,['电子信息']
000939,凯迪生态,['电力行业']
000948,南天信息,['电子信息']
000949,新乡化纤,['化纤行业']
000950,*ST建峰,['农药化肥']
000951,中国重汽,['汽车制造']
000952,广济药业,['生物制药']
000953,河池化工,['农药化肥']
000955,欣龙控股,['纺织行业']
000957,中通客车,['汽车制造']
000958,东方能源,['电力行业']
000959,首钢股份,['钢铁行业']
000960,锡业股份,['有色金属']
000961,中南建设,['建筑建材']
000962,*ST东钽,['有色金属']
000963,华东医药,['生物制药']
000965,天保基建,['房地产']
000966,长源电力,['电力行业']
000967,盈峰环境,['发电设备']
000968,*ST煤气,['煤炭行业']
000969,安泰科技,['钢铁行业']
000970,中科三环,['电子信息']
000971,高升控股,['纺织行业']
000972,中基健康,['食品行业']
000973,佛塑科技,['塑料制品']
000976,春晖股份,['化纤行业']
000977,浪潮信息,['电子信息']
000978,桂林旅游,['酒店旅游']
000979,中弘股份,['房地产']
000980,金马股份,['仪器仪表']
000981,银亿股份,['房地产']
000982,中银绒业,['纺织行业']
000983,西山煤电,['煤炭行业']
000985,大庆华科,['化工行业']
000987,越秀金控,['商业百货']
000988,华工科技,['仪器仪表']
000989,九 芝 堂,['生物制药']
000990,诚志股份,['化工行业']
000993,闽东电力,['电力行业']
000995,*ST皇台,['酿酒行业']
000996,中国中期,['交通运输']
000997,新 大 陆,['电子信息']
000998,隆平高科,['农林牧渔']
000999,华润三九,['生物制药']
001696,宗申动力,['摩托车']
001896,豫能控股,['电力行业']
002001,新 和 成,['生物制药']
002002,鸿达兴业,['塑料制品']
002003,伟星股份,['服装鞋类']
002004,华邦健康,['农药化肥']
002005,德豪润达,['家电行业']
002006,精功科技,['机械行业']
002007,华兰生物,['生物制药']
002008,大族激光,['仪器仪表']
002009,天奇股份,['机械行业']
002010,传化智联,['化工行业']
002011,盾安环境,['机械行业']
002012,凯恩股份,['造纸行业']
002013,中航机电,['汽车制造']
002014,永新股份,['化工行业']
002015,霞客环保,['化纤行业']
002016,世荣兆业,['房地产']
002017,东信和平,['电子信息']
002018,华信国际,['农药化肥']
002019,亿帆医药,['生物制药']
002020,京新药业,['生物制药']
002021,中捷资源,['纺织机械']
002022,科华生物,['生物制药']
002023,海特高新,['飞机制造']
002024,苏宁云商,['商业百货']
002025,航天电器,['电子器件']
002026,山东威达,['机械行业']
002027,分众传媒,['电子信息']
002028,思源电气,['发电设备']
002029,七 匹 狼,['服装鞋类']
002030,达安基因,['生物制药']
002031,巨轮智能,['汽车制造']
002032,苏 泊 尔,['家电行业']
002033,丽江旅游,['酒店旅游']
002034,美 欣 达,['纺织行业']
002035,华帝股份,['家电行业']
002036,联创电子,['服装鞋类']
002037,久联发展,['化工行业']
002038,双鹭药业,['生物制药']
002039,黔源电力,['电力行业']
002040,南 京 港,['交通运输']
002041,登海种业,['农林牧渔']
002042,华孚色纺,['纺织行业']
002043,兔 宝 宝,['建筑建材']
002044,美年健康,['服装鞋类']
002045,国光电器,['电子器件']
002046,轴研科技,['机械行业']
002047,宝鹰股份,['建筑建材']
002048,宁波华翔,['汽车制造']
002049,紫光国芯,['电子器件']
002050,三花智控,['机械行业']
002051,中工国际,['建筑建材']
002052,同洲电子,['电子信息']
002053,云南能投,['化工行业']
002054,德美化工,['化工行业']
002055,得润电子,['电子器件']
002056,横店东磁,['电子器件']
002057,中钢天源,['电子器件']
002058,威 尔 泰,['仪器仪表']
002059,云南旅游,['酒店旅游']
002060,粤 水 电,['建筑建材']
002061,*ST江化,['化工行业']
002062,宏润建设,['建筑建材']
002063,远光软件,['电子信息']
002064,华峰氨纶,['化纤行业']
002065,东华软件,['电子信息']
002066,瑞泰科技,['建筑建材']
002067,景兴纸业,['造纸行业']
002068,黑猫股份,['化工行业']
002069,*ST獐岛,['农林牧渔']
002070,众和股份,['纺织行业']
002071,长城影视,['传媒娱乐']
002072,凯瑞德,['纺织行业']
002073,软控股份,['电子信息']
002074,国轩高科,['发电设备']
002075,沙钢股份,['钢铁行业']
002076,雪 莱 特,['家电行业']
002077,大港股份,['房地产']
002078,太阳纸业,['造纸行业']
002079,苏州固锝,['电子器件']
002080,中材科技,['化纤行业']
002081,金 螳 螂,['建筑建材']
002082,栋梁新材,['有色金属']
002083,孚日股份,['纺织行业']
002084,海鸥卫浴,['家具行业']
002085,万丰奥威,['汽车制造']
002086,东方海洋,['农林牧渔']
002087,新野纺织,['纺织行业']
002088,鲁阳节能,['其它行业']
002089,新 海 宜,['电子信息']
002090,金智科技,['电子信息']
002091,江苏国泰,['物资外贸']
002092,中泰化学,['化工行业']
002093,国脉科技,['电子信息']
002094,青岛金王,['化工行业']
002095,生 意 宝,['电子信息']
002096,南岭民爆,['化工行业']
002097,山河智能,['机械行业']
002098,浔兴股份,['服装鞋类']
002099,海翔药业,['生物制药']
002100,天康生物,['农林牧渔']
002101,广东鸿图,['机械行业']
002102,冠福股份,['陶瓷行业']
002104,恒宝股份,['电子器件']
002106,莱宝高科,['电子器件']
002107,沃华医药,['生物制药']
002108,沧州明珠,['塑料制品']
002109,*ST兴化,['化工行业']
002110,三钢闽光,['钢铁行业']
002111,威海广泰,['飞机制造']
002112,三变科技,['发电设备']
002113,天润数娱,['农药化肥']
002114,罗平锌电,['有色金属']
002115,三维通信,['电子信息']
002116,中国海诚,['建筑建材']
002117,东港股份,['印刷包装']
002118,紫鑫药业,['生物制药']
002119,康强电子,['电子器件']
002120,新海股份,['家具行业']
002121,科陆电子,['仪器仪表']
002122,天马股份,['机械行业']
002123,梦网荣信,['发电设备']
002124,天邦股份,['农林牧渔']
002125,湘潭电化,['化工行业']
002126,银轮股份,['汽车制造']
002127,南极电商,['纺织行业']
002128,露天煤业,['煤炭行业']
002129,中环股份,['电子器件']
002130,沃尔核材,['发电设备']
002131,利欧股份,['机械行业']
002132,恒星科技,['钢铁行业']
002133,广宇集团,['房地产']
002134,天津普林,['电子器件']
002135,东南网架,['建筑建材']
002136,安 纳 达,['化工行业']
002137,麦达数字,['电子器件']
002138,顺络电子,['电子器件']
002139,拓邦股份,['电子器件']
002140,东华科技,['建筑建材']
002141,蓉胜超微,['电子器件']
002142,宁波银行,['金融行业']
002143,印纪传媒,['传媒娱乐']
002144,宏达高科,['纺织行业']
002145,中核钛白,['化工行业']
002146,荣盛发展,['房地产']
002147,新光圆成,['机械行业']
002148,北纬通信,['电子信息']
002149,西部材料,['有色金属']
002150,通润装备,['机械行业']
002151,北斗星通,['电子信息']
002152,广电运通,['电子信息']
002153,石基信息,['电子信息']
002154,报 喜 鸟,['服装鞋类']
002155,湖南黄金,['有色金属']
002156,通富微电,['电子器件']
002157,正邦科技,['农林牧渔']
002158,汉钟精机,['机械行业']
002159,三特索道,['酒店旅游']
002160,常铝股份,['有色金属']
002161,远 望 谷,['电子信息']
002162,悦心健康,['陶瓷行业']
002163,中航三鑫,['建筑建材']
002164,宁波东力,['电器行业']
002165,红 宝 丽,['化工行业']
002166,莱茵生物,['生物制药']
002167,东方锆业,['有色金属']
002168,深圳惠程,['发电设备']
002169,智光电气,['发电设备']
002170,芭田股份,['农药化肥']
002171,楚江新材,['有色金属']
002172,澳洋科技,['化纤行业']
002173,*ST创疗,['农林牧渔']
002174,游族网络,['电子信息']
002175,东方网络,['仪器仪表']
002176,江特电机,['电器行业']
002177,御银股份,['电子信息']
002178,延华智能,['建筑建材']
002179,中航光电,['电子器件']
002180,艾派克,['电子信息']
002181,粤 传 媒,['传媒娱乐']
002182,云海金属,['有色金属']
002183,怡 亚 通,['交通运输']
002184,海得控制,['电子信息']
002185,华天科技,['电子器件']
002186,全 聚 德,['酒店旅游']
002187,广百股份,['商业百货']
002188,巴士在线,['电子器件']
002189,利达光电,['电子器件']
002190,成飞集成,['汽车制造']
002191,劲嘉股份,['印刷包装']
002192,融捷股份,['化工行业']
002193,山东如意,['纺织行业']
002194,武汉凡谷,['电子信息']
002195,二三四五,['电子信息']
002196,方正电机,['纺织机械']
002197,证通电子,['仪器仪表']
002198,嘉应制药,['生物制药']
002199,*ST东晶,['电子器件']
002200,云投生态,['环保行业']
002201,九鼎新材,['化工行业']
002202,金风科技,['发电设备']
002203,海亮股份,['有色金属']
002204,大连重工,['机械行业']
002205,国统股份,['建筑建材']
002206,海 利 得,['化纤行业']
002207,准油股份,['石油行业']
002208,合肥城建,['房地产']
002209,达 意 隆,['机械行业']
002210,飞马国际,['交通运输']
002211,宏达新材,['化工行业']
002212,南洋股份,['发电设备']
002213,特 尔 佳,['汽车制造']
002214,大立科技,['仪器仪表']
002215,诺 普 信,['农药化肥']
002216,三全食品,['食品行业']
002217,合力泰,['化工行业']
002218,拓日新能,['电子器件']
002219,恒康医疗,['生物制药']
002220,天宝股份,['食品行业']
002221,东华能源,['石油行业']
002222,福晶科技,['电子器件']
002223,鱼跃医疗,['医疗器械']
002224,三 力 士,['化工行业']
002225,濮耐股份,['建筑建材']
002226,江南化工,['化工行业']
002227,奥 特 迅,['发电设备']
002228,合兴包装,['印刷包装']
002229,鸿博股份,['印刷包装']
002230,科大讯飞,['电子信息']
002231,奥维通信,['电子信息']
002232,启明信息,['电子信息']
002233,塔牌集团,['水泥行业']
002234,民和股份,['农林牧渔']
002235,安妮股份,['造纸行业']
002236,大华股份,['仪器仪表']
002237,恒邦股份,['有色金属']
002238,天威视讯,['传媒娱乐']
002239,奥特佳,['服装鞋类']
002240,威华股份,['家具行业']
002241,歌尔股份,['电子器件']
002242,九阳股份,['家电行业']
002243,通产丽星,['塑料制品']
002244,滨江集团,['房地产']
002245,澳洋顺昌,['交通运输']
002246,北化股份,['化工行业']
002247,帝龙文化,['建筑建材']
002248,华东数控,['机械行业']
002249,大洋电机,['电器行业']
002250,联化科技,['化工行业']
002251,步 步 高,['商业百货']
002252,上海莱士,['生物制药']
002253,川大智胜,['电子信息']
002254,泰和新材,['化纤行业']
002255,海陆重工,['机械行业']
002256,兆新股份,['化工行业']
002258,利尔化学,['农药化肥']
002259,升达林业,['家具行业']
